STORE_ID,STORE_COUNTRY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,TRANSACTION_DATE
BR9799,EUR,Berlin,Fashion,60402526,69,EUR 47.66,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,13,EUR 35.33,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,35,EUR 46.37,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,86,EUR 41.64,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,41,EUR 57.13,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,96,EUR 15.87,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,72,EUR 41.92,EUR 3.35,EUR 63.65,05/28/2020
BR9799,EUR,Berlin,Groceries,65538635,37,EUR 12.55,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,70,EUR 10.95,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,98,EUR 6.84,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,27,EUR 9.14,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,33,EUR 18.54,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,96,EUR 33.49,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,32,EUR 38.83,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,60,EUR 34.72,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,99,EUR 16.79,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,73,EUR 42.89,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,97,EUR 20.31,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,51,EUR 62.79,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,91,EUR 43.76,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,47,EUR 54.51,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,80,EUR 8.17,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,19,EUR 24.29,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,54,EUR 47.03,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,78,EUR 38.95,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,59,EUR 7.96,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,72,EUR 26.23,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,55,EUR 46.98,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,44,EUR 52.51,EUR 4.75,EUR 90.25,05/28/2020
BR9799,EUR,Berlin,Fashion,60402526,73,EUR 47.60,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,81,EUR 32.89,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,51,EUR 45.80,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,97,EUR 41.09,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,93,EUR 54.10,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,14,EUR 16.02,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,31,EUR 43.12,EUR 3.35,EUR 63.65,05/28/2020
BR9799,EUR,Berlin,Groceries,65538635,78,EUR 12.54,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,13,EUR 10.67,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,68,EUR 7.44,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,27,EUR 9.94,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,34,EUR 20.15,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,42,EUR 36.40,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,77,EUR 42.21,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,46,EUR 37.74,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,74,EUR 18.25,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,35,EUR 46.62,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,59,EUR 22.08,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,10,EUR 68.25,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,51,EUR 47.57,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,86,EUR 59.25,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,47,EUR 8.88,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,47,EUR 26.40,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,28,EUR 51.12,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,49,EUR 42.34,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,51,EUR 8.25,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,52,EUR 28.00,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,21,EUR 51.35,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,49,EUR 60.80,EUR 4.75,EUR 90.25,05/28/2020
BR9799,EUR,Berlin,Fashion,60402526,97,EUR 51.80,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,37,EUR 38.40,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,42,EUR 50.40,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,23,EUR 45.26,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,16,EUR 62.10,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,59,EUR 17.25,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,59,EUR 45.56,EUR 3.35,EUR 63.65,05/28/2020
BR9799,EUR,Berlin,Groceries,65538635,36,EUR 13.64,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,27,EUR 11.90,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,13,EUR 7.44,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,24,EUR 9.94,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,91,EUR 20.15,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,30,EUR 36.40,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,42,EUR 42.21,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,26,EUR 37.74,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,63,EUR 18.25,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,15,EUR 46.62,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,73,EUR 22.08,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,55,EUR 68.25,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,57,EUR 47.57,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,25,EUR 59.25,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,87,EUR 8.88,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,21,EUR 26.40,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,66,EUR 51.12,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,75,EUR 42.34,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,68,EUR 8.25,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,46,EUR 28.00,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,71,EUR 51.35,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,55,EUR 60.80,EUR 4.75,EUR 90.25,05/28/2020
BR9799,EUR,Berlin,Fashion,60402526,67,EUR 51.80,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,97,EUR 38.40,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,23,EUR 50.40,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,55,EUR 45.26,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,69,EUR 62.10,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,70,EUR 17.25,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,67,EUR 45.56,EUR 3.35,EUR 63.65,05/28/2020
BR9799,EUR,Berlin,Groceries,65538635,14,EUR 13.64,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,47,EUR 11.90,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,28,EUR 7.44,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,51,EUR 9.94,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,25,EUR 20.15,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,94,EUR 36.40,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,44,EUR 42.21,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,48,EUR 37.74,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,26,EUR 18.25,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,64,EUR 46.62,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,79,EUR 22.08,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,43,EUR 68.25,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,77,EUR 47.57,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,78,EUR 59.25,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,51,EUR 8.88,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,48,EUR 26.40,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,12,EUR 51.12,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,86,EUR 42.34,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,20,EUR 8.25,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,43,EUR 28.00,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,97,EUR 51.35,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,46,EUR 60.80,EUR 4.75,EUR 90.25,05/28/2020
BR9799,EUR,Berlin,Fashion,60402526,91,EUR 51.80,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,69,EUR 38.40,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,62,EUR 50.40,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,46,EUR 45.26,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,67,EUR 62.10,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,70,EUR 17.25,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,57,EUR 45.56,EUR 3.35,EUR 63.65,05/28/2020
BR9799,EUR,Berlin,Groceries,65538635,65,EUR 13.64,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,92,EUR 11.90,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,88,EUR 7.44,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,54,EUR 9.94,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,17,EUR 20.15,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,21,EUR 36.40,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,45,EUR 42.21,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,39,EUR 37.74,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,82,EUR 18.25,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,58,EUR 46.62,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,20,EUR 22.08,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,18,EUR 68.25,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,66,EUR 47.57,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,72,EUR 59.25,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,51,EUR 8.88,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,28,EUR 26.40,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,18,EUR 51.12,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,78,EUR 42.34,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,60,EUR 8.25,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,52,EUR 28.00,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,15,EUR 51.35,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,93,EUR 60.80,EUR 4.75,EUR 90.25,05/28/2020
BR9799,EUR,Berlin,Fashion,60402526,67,EUR 51.80,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,54,EUR 38.40,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,88,EUR 50.40,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,100,EUR 45.26,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,71,EUR 62.10,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,95,EUR 17.25,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,83,EUR 45.56,EUR 3.35,EUR 63.65,05/28/2020
BR9799,EUR,Berlin,Groceries,65538635,57,EUR 13.64,EUR 2.20,EUR 19.80,05/28/2020
BR9799,EUR,Berlin,Electronics,34419860,54,EUR 11.90,EUR 1.70,EUR 15.30,05/28/2020
BR9799,EUR,Berlin,Furniture,89530029,21,EUR 7.44,EUR 0.48,EUR 11.52,05/28/2020
BR9799,EUR,Berlin,Kitchen,60147094,22,EUR 9.94,EUR 1.12,EUR 12.88,05/28/2020
BR9799,EUR,Berlin,Furniture,14141845,43,EUR 20.15,EUR 2.79,EUR 28.21,05/28/2020
BR9799,EUR,Berlin,Fashion,64494934,38,EUR 36.40,EUR 4.48,EUR 51.52,05/28/2020
BR9799,EUR,Berlin,Furniture,11744079,90,EUR 42.21,EUR 4.41,EUR 58.59,05/28/2020
BR9799,EUR,Berlin,Kitchen,92378234,18,EUR 37.74,EUR 1.02,EUR 49.98,05/28/2020
BR9799,EUR,Berlin,Kitchen,49570007,86,EUR 18.25,EUR 2.50,EUR 22.50,05/28/2020
BR9799,EUR,Berlin,Electronics,84001159,96,EUR 46.62,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Fashion,50657653,69,EUR 22.08,EUR 0.96,EUR 31.04,05/28/2020
BR9799,EUR,Berlin,Electronics,95891113,98,EUR 68.25,EUR 5.46,EUR 85.54,05/28/2020
BR9799,EUR,Berlin,Kitchen,90944519,18,EUR 47.57,EUR 4.02,EUR 62.98,05/28/2020
BR9799,EUR,Berlin,Education,30882263,82,EUR 59.25,EUR 5.53,EUR 73.47,05/28/2020
BR9799,EUR,Berlin,Cosmetics,21368103,41,EUR 8.88,EUR 1.20,EUR 10.80,05/28/2020
BR9799,EUR,Berlin,Kitchen,83369445,97,EUR 26.40,EUR 3.52,EUR 40.48,05/28/2020
BR9799,EUR,Berlin,Fashion,87203674,84,EUR 51.12,EUR 6.39,EUR 64.61,05/28/2020
BR9799,EUR,Berlin,Kitchen,57708129,11,EUR 42.34,EUR 2.90,EUR 55.10,05/28/2020
BR9799,EUR,Berlin,Fashion,33549194,34,EUR 8.25,EUR 0.99,EUR 10.01,05/28/2020
BR9799,EUR,Berlin,Education,97319335,44,EUR 28.00,EUR 2.00,EUR 38.00,05/28/2020
BR9799,EUR,Berlin,Groceries,21093444,65,EUR 51.35,EUR 2.37,EUR 76.63,05/28/2020
BR9799,EUR,Berlin,Education,86267089,15,EUR 60.80,EUR 4.75,EUR 90.25,05/28/2020
BR9799,EUR,Berlin,Fashion,60402526,63,EUR 51.80,EUR 6.66,EUR 67.34,05/28/2020
BR9799,EUR,Berlin,Electronics,98349304,64,EUR 38.40,EUR 1.92,EUR 62.08,05/28/2020
BR9799,EUR,Berlin,Groceries,31296997,74,EUR 50.40,EUR 3.50,EUR 66.50,05/28/2020
BR9799,EUR,Berlin,Kitchen,72534179,59,EUR 45.26,EUR 4.34,EUR 57.66,05/28/2020
BR9799,EUR,Berlin,Furniture,71075744,76,EUR 62.10,EUR 5.40,EUR 84.60,05/28/2020
BR9799,EUR,Berlin,Cosmetics,16795043,41,EUR 17.25,EUR 1.75,EUR 23.25,05/28/2020
BR9799,EUR,Berlin,Groceries,24966125,86,EUR 45.56,EUR 3.35,EUR 63.65,05/28/2020
AM5129,EUR,Amsterdam,Fashion,21895446,69,EUR 29.25,EUR 2.25,EUR 42.75,05/28/2020
AM5129,EUR,Amsterdam,Furniture,89134521,12,EUR 10.56,EUR 0.64,EUR 15.36,05/28/2020
AM5129,EUR,Amsterdam,Kitchen,28462524,48,EUR 61.32,EUR 5.88,EUR 78.12,05/28/2020
AM5129,EUR,Amsterdam,Education,54527587,25,EUR 43.55,EUR 5.20,EUR 59.80,05/28/2020
AM5129,EUR,Amsterdam,Groceries,35202636,53,EUR 22.68,EUR 2.88,EUR 33.12,05/28/2020
AM5129,EUR,Amsterdam,Education,67054748,55,EUR 48.10,EUR 2.96,EUR 71.04,05/28/2020
AM5129,EUR,Amsterdam,Education,48402709,44,EUR 22.94,EUR 2.79,EUR 28.21,05/28/2020
AM5129,EUR,Amsterdam,Fashion,72583618,59,EUR 48.00,EUR 4.50,EUR 70.50,05/28/2020
AM5129,EUR,Amsterdam,Cosmetics,66631774,71,EUR 26.04,EUR 3.36,EUR 38.64,05/28/2020
AM5129,EUR,Amsterdam,Electronics,59226989,17,EUR 39.60,EUR 3.30,EUR 51.70,05/28/2020
AM5129,EUR,Amsterdam,Groceries,86525268,65,EUR 42.75,EUR 2.85,EUR 54.15,05/28/2020
AM5129,EUR,Amsterdam,Education,50588989,21,EUR 34.30,EUR 4.90,EUR 44.10,05/28/2020
AM5129,EUR,Amsterdam,Kitchen,38037109,24,EUR 19.50,EUR 1.82,EUR 24.18,05/28/2020
AM5129,EUR,Amsterdam,Kitchen,44604187,23,EUR 25.74,EUR 1.95,EUR 37.05,05/28/2020
AM5129,EUR,Amsterdam,Electronics,81883544,83,EUR 25.35,EUR 3.51,EUR 35.49,05/28/2020
AM5129,EUR,Amsterdam,Education,39160461,35,EUR 60.75,EUR 2.43,EUR 78.57,05/28/2020
AM5129,EUR,Amsterdam,Electronics,77208862,53,EUR 56.98,EUR 2.31,EUR 74.69,05/28/2020
AM5129,EUR,Amsterdam,Education,10118103,39,EUR 45.14,EUR 4.44,EUR 69.56,05/28/2020
AM5129,EUR,Amsterdam,Furniture,96341552,93,EUR 31.50,EUR 4.50,EUR 45.50,05/28/2020
AM5129,EUR,Amsterdam,Kitchen,78606872,86,EUR 8.40,EUR 1.20,EUR 10.80,05/28/2020
AM5129,EUR,Amsterdam,Education,78609619,29,EUR 7.32,EUR 0.84,EUR 11.16,05/28/2020
AM5129,EUR,Amsterdam,Groceries,90142517,91,EUR 29.90,EUR 2.76,EUR 43.24,05/28/2020
AM5129,EUR,Amsterdam,Fashion,36584167,77,EUR 42.90,EUR 3.96,EUR 62.04,05/28/2020
AM5129,EUR,Amsterdam,Fashion,67225036,91,EUR 21.45,EUR 2.97,EUR 30.03,05/28/2020
AM5129,EUR,Amsterdam,Electronics,30017089,97,EUR 62.16,EUR 3.36,EUR 80.64,05/28/2020
AM5129,EUR,Amsterdam,Kitchen,37798156,96,EUR 34.04,EUR 1.84,EUR 44.16,05/28/2020
AM5129,EUR,Amsterdam,Education,68320922,61,EUR 63.75,EUR 8.50,EUR 76.50,05/28/2020
AM5129,EUR,Amsterdam,Electronics,48562011,97,EUR 52.08,EUR 6.72,EUR 77.28,05/28/2020
AM5129,EUR,Amsterdam,Electronics,31382141,22,EUR 48.64,EUR 1.52,EUR 74.48,05/28/2020
AM5129,EUR,Amsterdam,Education,27674255,11,EUR 21.70,EUR 3.50,EUR 31.50,05/28/2020
AM5129,EUR,Amsterdam,Electronics,10856933,56,EUR 67.45,EUR 6.65,EUR 88.35,05/28/2020
AM5129,EUR,Amsterdam,Cosmetics,54516601,55,EUR 30.00,EUR 2.00,EUR 38.00,05/28/2020
AM5129,EUR,Amsterdam,Electronics,38410644,52,EUR 17.64,EUR 2.80,EUR 25.20,05/28/2020
AM5129,EUR,Amsterdam,Furniture,78524475,87,EUR 69.84,EUR 4.85,EUR 92.15,05/28/2020
AM5129,EUR,Amsterdam,Fashion,21895446,16,EUR 29.25,EUR 2.25,EUR 42.75,05/28/2020
AM5129,EUR,Amsterdam,Furniture,89134521,80,EUR 10.56,EUR 0.64,EUR 15.36,05/28/2020
AM5129,EUR,Amsterdam,Kitchen,28462524,32,EUR 61.32,EUR 5.88,EUR 78.12,05/28/2020
AM5129,EUR,Amsterdam,Education,54527587,48,EUR 43.55,EUR 5.20,EUR 59.80,05/28/2020
AM5129,EUR,Amsterdam,Groceries,35202636,65,EUR 22.68,EUR 2.88,EUR 33.12,05/28/2020
AM5129,EUR,Amsterdam,Education,67054748,87,EUR 48.10,EUR 2.96,EUR 71.04,05/28/2020
AM5129,EUR,Amsterdam,Education,48402709,70,EUR 22.94,EUR 2.79,EUR 28.21,05/28/2020
AM5129,EUR,Amsterdam,Fashion,72583618,52,EUR 48.00,EUR 4.50,EUR 70.50,05/28/2020
